ident;nazwisko;imie;data urodz;laureat;swiadectwo;egzamin;wolontariat;konkursy;profil
1665;Wfbacka;Klarysa;17.12.2007;0;67;75;1;19;3
1842;Skbacka;Klarysa;6.7.2007;1;63;69;2;9;3
1056;Ncbacka;Klaudia;25.10.2007;0;69;94;1;11;8
1244;Gabacka;Klaudia;21.4.2007;0;62;93;1;8;9
1570;Oebacka;Klaudia;25.8.2008;0;71;68;3;10;2
1063;Fsbacki;Klaudian;25.4.2007;0;66;65;2;14;6
1216;Pmbacki;Klaudian;27.5.2007;0;66;84;3;0;3
1737;Chbacki;Klaudian;3.3.2007;1;61;71;3;8;5
1884;Fsbacki;Klaudian;11.7.2007;0;64;89;3;17;7
1054;Kpbacki;Klaudiusz;12.6.2007;0;68;79;0;21;8
1815;Mubacki;Klaudiusz;15.1.2007;0;63;79;0;5;2
1455;Lebacka;Klaudyna;23.10.2007;0;62;90;0;20;8
1746;Nwbacka;Klemencja;7.7.2008;0;69;92;2;16;2
1162;Epbacki;Klemens;26.5.2007;0;60;64;3;16;1
1597;Asbacki;Klemens;1.8.2008;0;70;95;2;11;9
1781;Frbacki;Klemens;23.6.2007;0;60;85;2;9;1
1863;Frbacki;Klemens;23.8.2007;0;62;77;2;14;5
1041;Hfbacki;Klementyn;26.9.2007;0;62;85;1;18;10
1797;Hsbacki;Klementyn;3.11.2008;0;66;94;2;20;3
1178;Twbacka;Klementyna;31.3.2007;0;71;100;2;18;8
1429;Pgbacka;Klementyna;15.5.2007;0;67;83;0;2;10
1803;Ambacka;Klementyna;19.6.2007;0;62;67;2;0;9
1849;Gbbacka;Klementyna;1.8.2008;0;62;89;2;9;10
1682;Robacka;Konkordia;24.11.2007;0;68;66;2;1;3
1739;Ckbacka;Konkordia;15.2.2007;0;64;96;1;14;6
1688;Fmbacka;Konstancja;28.3.2007;0;64;66;3;7;7
1141;Ntbacki;Konstancjusz;4.12.2007;1;64;66;0;8;5
1184;Opbacki;Konstancjusz;25.3.2007;0;61;71;1;21;3
1383;Gjbacki;Konstancjusz;28.3.2007;0;67;80;3;16;2
1405;Nebacki;Konstans;30.3.2007;0;65;72;1;13;1
1055;Odbacki;Konstanty;26.12.2007;0;65;93;1;3;9
1031;Otbacka;Konstantyna;30.5.2007;0;63;62;3;22;5
1529;Agbacka;Konstantyna;17.6.2007;0;71;89;1;3;1
1619;Gubacka;Konstantyna;26.1.2007;0;64;63;1;10;6
1663;Rlbacka;Konstantyna;23.2.2007;0;65;91;2;1;2
1076;Nkbacka;Kordula;6.9.2007;0;64;71;0;24;1
1897;Nkbacka;Kordula;23.12.2008;1;71;80;1;10;3
1384;Pfbacki;Kornel;9.8.2007;0;70;78;1;24;7
1224;Spbacki;Kryspin;13.6.2008;0;70;79;1;3;6
1250;Fpbacki;Kryspin;26.8.2007;0;70;70;1;24;5
1302;Hibacki;Kryspin;24.11.2007;0;71;99;1;21;8
1456;Gebacka;Kryspina;29.6.2007;0;66;86;0;17;5
1320;Ewbacki;Krystian;4.12.2008;0;62;96;2;3;9
1390;Gtbacki;Krystian;7.1.2007;0;67;72;1;11;3
1392;Gmbacki;Krystian;30.4.2007;0;65;63;2;3;2
1116;Uwbacka;Krystiana;22.3.2007;0;62;95;1;8;1
1772;Ncbacki;Kwadrat;29.8.2008;0;63;94;3;13;6
1260;Chbacka;Kwieta;2.1.2007;0;71;77;1;17;7
1558;Mlbacka;Kwieta;3.2.2007;0;68;100;0;2;3
1286;Wibacka;Kwiryna;28.11.2007;0;67;81;3;0;7
1309;Ejbacka;Kwiryna;11.2.2007;0;63;73;1;4;8
1011;Mwbacka;Laura;7.9.2007;0;72;99;1;18;1
1427;Tsbacka;Laura;13.6.2007;0;72;82;2;14;10
1768;Kubacka;Laura;2.11.2007;0;71;93;3;9;9
1173;Wcbacka;Laurencja;1.10.2008;0;68;82;3;6;6
1175;Wjbacka;Laurencja;6.2.2007;1;71;73;3;17;6
1683;Dsbacka;Laurencja;11.5.2007;0;68;98;2;23;1
1350;Djbacki;Laurencjusz;7.1.2007;0;67;82;3;2;8
1474;Ggbacki;Laurencjusz;4.3.2008;0;71;62;3;21;1
1705;Eobacki;Laurencjusz;8.1.2007;0;63;62;2;0;9
1188;Lkbacki;Laurenty;13.9.2007;0;61;72;3;1;8
1407;Hhbacki;Laurentyn;31.7.2007;0;61;93;2;11;10
1509;Thbacki;Laurentyn;24.7.2007;1;62;77;2;5;6
1624;Nrbacki;Laurentyn;4.10.2008;0;66;98;2;4;10
1163;Fdbacka;Lawinia;16.6.2007;0;72;79;2;8;5
1332;Nobacka;Lawinia;11.12.2007;0;61;94;1;1;6
1333;Elbacka;Lawinia;10.2.2007;0;64;66;1;5;4
1741;Eubacka;Lawinia;15.7.2007;0;67;100;3;1;6
1554;Msbacki;Leon;26.4.2007;1;65;62;2;23;7
1107;Uibacka;Leona;29.12.2007;0;66;89;3;22;4
1138;Bobacka;Leona;7.9.2007;0;72;73;3;12;8
1153;Atbacka;Leona;8.6.2007;0;63;81;1;24;6
1850;Kubacka;Leona;8.6.2007;0;62;80;1;4;6
1157;Ksbacka;Leonia;2.4.2007;0;61;75;0;24;3
1386;Shbacka;Leonia;22.4.2007;0;63;77;1;18;1
1523;Mnbacka;Leonia;28.10.2008;0;70;97;2;19;7
1580;Mjbacka;Leonia;24.3.2007;0;71;67;1;6;9
1753;Snbacka;Leonia;10.5.2007;0;72;90;1;3;8
1440;Pibacka;Leontyna;10.3.2007;0;67;69;1;1;4
1658;Kdbacka;Leontyna;26.1.2007;1;68;89;0;8;9
1091;Okbacka;Letycja;13.6.2007;0;63;69;2;5;6
1444;Rhbacka;Letycja;29.3.2007;0;65;89;2;24;2
1912;Okbacka;Letycja;19.12.2007;0;68;86;2;5;7
1470;Ubbacka;Licynia;17.7.2008;0;62;79;1;8;2
1205;Hnbacka;Lidia;12.8.2007;0;61;78;1;17;1
1617;Gwbacka;Lidia;17.5.2007;0;65;90;2;9;3
1064;Sabacka;Lilia;14.11.2007;1;62;80;2;24;2
1885;Sabacka;Lilia;17.4.2007;0;68;78;1;8;7
1045;Nabacka;Liliana;17.10.2008;0;65;64;3;8;2
1517;Nrbacka;Liliana;16.10.2007;0;65;73;3;4;7
1650;Wgbacka;Liliana;3.2.2007;1;61;79;3;20;10
1105;Ftbacka;Lilianna;23.2.2007;0;70;99;3;9;9
1479;Gibacka;Lilla;11.11.2007;0;63;75;3;16;7
1835;Snbacka;Litoria;11.10.2007;0;63;62;2;14;8
1228;Akbacki;Litoriusz;11.10.2007;1;71;60;0;1;3
1634;Uubacki;Litoriusz;15.8.2007;0;69;94;2;6;10
1647;Mpbacka;Liwia;7.1.2008;0;63;65;2;1;1
1246;Cgbacka;Lucja;19.11.2008;0;71;98;2;16;10
1695;Pmbacka;Lucja;2.10.2008;0;61;79;0;0;6
1711;Rebacka;Lucja;30.9.2007;0;70;72;1;10;8
1493;Oebacki;Lucjan;5.2.2007;0;65;89;1;21;3
1058;Rhbacki;Lucjusz;3.11.2007;1;71;84;2;8;5
1559;Wlbacki;Lucjusz;24.1.2007;0;61;98;1;24;2
1816;Mubacki;Lucjusz;19.2.2007;0;70;71;0;11;3
1879;Rhbacki;Lucjusz;16.2.2007;0;70;62;1;3;9
1110;Aebacka;Lucyla;14.3.2007;0;71;69;0;17;4
1275;Prbacka;Lucyla;26.4.2007;0;63;79;3;5;2
1442;Ljbacka;Lucyla;25.9.2007;0;69;70;3;16;1
1451;Cubacka;Lucyla;30.12.2007;0;62;75;1;18;7
1466;Bibacka;Lucyna;24.5.2007;0;62;94;3;24;4
1127;Fgbacka;Lukrecja;27.12.2007;0;68;92;1;20;5
1263;Bebacka;Lukrecja;10.7.2007;0;63;76;2;13;6
1453;Cibacka;Lukrecja;25.1.2007;0;67;90;1;13;6
1524;Ukbacka;Lukrecja;31.8.2008;0;61;62;1;18;6
1361;Lobacki;Lupus;17.11.2007;0;65;81;1;19;1
1546;Dnbacki;Lupus;16.1.2008;0;61;94;1;9;10
1712;Lrbacki;Lupus;23.5.2007;0;71;81;3;19;2
1743;Ukbacki;Lupus;19.1.2007;1;65;86;1;10;7
1426;Ujbacka;£ucja;8.9.2007;0;71;65;2;4;1
1262;Mabacki;£ucjan;4.10.2007;0;66;72;1;5;4
1315;Hcbacki;£ucjan;13.4.2007;0;69;80;0;23;4
1024;Wtbacka;£ucjana;22.5.2008;0;60;60;0;1;2
1528;Febacka;£ucjana;20.4.2007;0;64;66;1;9;5
1176;Dbbacki;£ukasz;30.10.2007;0;64;75;3;24;10
1817;Ochadzka;Maksencja;16.12.2007;0;69;62;1;12;4
1117;Gubacki;Maksencjusz;15.4.2007;0;68;94;3;3;6
1201;Oibacki;Maksencjusz;6.4.2007;0;65;65;0;12;4
1640;Llbacki;Maksencjusz;21.5.2007;0;63;88;2;17;3
1798;Cabacki;Maksencjusz;10.1.2008;0;68;84;1;0;4
1832;Gfbacki;Maksencjusz;4.9.2007;0;68;76;1;14;4
1002;Htbacki;Maksymilian;23.7.2007;0;65;61;1;1;5
1022;Tebacki;Maksymilian;26.3.2008;0;64;88;0;21;6
1314;Wibacki;Maksymilian;5.8.2007;0;61;71;2;16;7
1380;Bsbacki;Maksymilian;24.2.2007;1;62;88;0;14;2
1651;Anbacki;Maksymilian;19.11.2007;0;71;64;1;10;8
1789;Nfbacki;Maksymilian;23.5.2007;0;63;88;2;11;8
1841;Wubacki;Maksymilian;20.12.2007;0;66;60;1;9;2
1871;Nfbacki;Maksymilian;22.5.2008;1;70;62;2;14;6
1612;Lsbacki;Maksymin;10.8.2007;0;61;93;1;4;9
1265;Sbbacki;Mamertyn;4.10.2007;0;65;80;0;23;7
1313;Ppbacki;Mamertyn;1.11.2007;0;64;69;1;8;9
1692;Mdbacki;Mamertyn;1.8.2007;0;68;77;1;13;8
1164;Lmbacka;Mamertyna;8.10.2007;0;68;62;3;0;6
1404;Etbacka;Mamertyna;16.4.2007;0;65;81;0;12;9
1437;Kobacka;Mamertyna;30.9.2007;0;60;70;2;0;5
1210;Ombacki;Maniusz;16.4.2007;1;67;76;1;11;10
1264;Tobacki;Maniusz;7.1.2007;0;70;77;2;2;2
1412;Rkbacki;Maniusz;22.8.2007;0;66;66;1;23;10
1492;Tnbacki;Maniusz;31.7.2007;0;66;84;3;13;9
1077;Lubacki;Marceli;20.5.2007;0;64;88;1;14;9
1408;Ekbacki;Marceli;13.5.2007;0;69;87;1;13;10
1605;Tfbacki;Marceli;7.3.2007;0;61;60;0;12;9
1898;Lubacki;Marceli;27.12.2008;0;68;85;1;14;4
1254;Rabacka;Marcelina;24.12.2007;0;70;73;0;24;9
1189;Bnbacki;Marcin;23.8.2007;0;69;79;0;21;3
1079;Ksbacki;Marcjalis;28.12.2007;0;69;67;0;9;6
1668;Rtbacki;Marcjalis;14.4.2007;0;67;99;2;24;7
1900;Ksbacki;Marcjalis;19.11.2007;0;67;96;1;20;2
1476;Uwbacki;Marcjan;24.8.2007;0;69;68;3;21;4
1037;Rkbacka;Marcjanna;23.7.2007;0;68;79;1;6;6
1236;Upbacka;Marcjanna;7.8.2007;0;66;63;3;3;10
1298;Wsbacka;Marcjanna;23.11.2008;0;69;76;2;9;7
1248;Hlbacki;Marek;17.4.2008;0;71;80;3;24;6
1004;Fobacka;Marianna;6.4.2007;0;68;96;2;7;7
1818;Ochadzka;Marianna;22.9.2007;0;72;86;0;3;7
1122;Rwbacki;Mariusz;10.12.2008;0;61;79;0;16;7
1513;Fgbacki;Mariusz;27.2.2007;0;71;80;3;1;9
1094;Phbacki;Matern;22.11.2007;1;61;61;2;10;6
1431;Rsbacki;Matern;16.11.2007;0;67;91;2;16;2
1343;Pcbacka;Materna;21.8.2007;0;69;95;3;14;7
1464;Lobacka;Materna;6.1.2007;0;69;70;1;7;6
1819;Ochadzka;Matylda;10.1.2007;0;63;79;3;14;10
1820;Ochadzka;Matylda;7.6.2008;1;61;99;2;18;9
1336;Kgbacki;Maur;24.2.2007;0;62;80;2;7;6
1397;Efbacki;Maur;6.12.2008;0;70;72;2;23;4
1066;Erbacka;Maura;18.9.2007;0;63;96;2;24;3
1213;Cwbacka;Maura;28.5.2007;0;69;74;2;18;7
1887;Erbacka;Maura;25.7.2007;0;64;61;2;13;4
1296;Hpbacki;Mauryn;21.9.2008;0;60;100;1;19;7
1357;Subacki;Mauryn;1.7.2007;0;67;65;1;12;4
1723;Tlbacki;Memiusz;14.9.2008;0;68;98;2;15;7
1457;Ehbacka;Miranda;31.1.2007;0;64;85;0;22;9
1087;Eabacki;Modest;30.5.2007;0;68;95;1;18;1
1225;Npbacki;Modest;9.12.2007;0;69;80;0;23;7
1290;Cebacki;Modest;19.6.2007;0;72;95;2;22;7
1409;Ubbacki;Modest;20.7.2007;0;71;91;1;6;3
1568;Aibacki;Modest;15.3.2007;0;69;96;0;1;4
1713;Nnbacki;Modest;7.2.2007;0;67;77;2;5;9
1831;Btbacki;Modest;23.3.2007;0;61;69;1;8;10
1908;Eabacki;Modest;19.2.2007;0;61;67;3;6;9
1080;Sjbacka;Modesta;14.9.2007;1;69;96;1;22;1
1287;Hpbacka;Modesta;15.5.2007;0;66;96;2;19;7
1901;Sjbacka;Modesta;17.12.2007;0;68;75;1;19;10
1050;Mfbacki;Montan;9.9.2007;0;70;80;1;1;4
1497;Mpbacki;Montan;10.2.2008;0;69;93;1;24;1
1584;Acbacki;Montan;3.7.2007;0;64;91;1;19;8
1166;Wtbacki;Napoleon;10.3.2007;0;69;88;1;13;5
1044;Eebacka;Natalia;13.10.2007;0;64;70;3;6;9
1680;Psbacka;Natalia;31.1.2007;0;71;84;2;17;7
1233;Wpbacki;Natalis;20.12.2007;0;70;95;3;21;4
1291;Dabacki;Natalis;25.8.2007;0;67;71;2;20;3
1489;Tjbacki;Natalis;15.6.2007;0;69;77;1;2;9
1821;Mubacki;Natalis;4.1.2008;0;61;83;2;2;5
1822;Mubacki;Natalis;14.5.2008;0;70;89;2;17;1
1491;Spbacka;Nazaria;12.9.2007;0;67;75;0;6;10
1510;Lnbacka;Nazaria;6.2.2007;0;61;72;3;3;6
1648;Rubacka;Nazaria;6.10.2008;1;67;88;1;18;10
1069;Fmbacki;Nestor;28.5.2007;0;64;78;3;24;2
1890;Fmbacki;Nestor;10.1.2007;0;64;92;2;0;2
1174;Mibacka;Nonna;25.1.2008;0;66;70;1;16;8
1477;Rfbacka;Nonna;9.3.2007;0;67;99;1;5;3
1551;Ntbacka;Nonna;25.11.2007;0;70;97;0;8;3
1564;Wkbacka;Nonna;7.8.2007;0;64;89;1;8;6
1542;Hgbacka;Oktawia;28.8.2007;0;67;72;1;4;5
1335;Psbacki;Oktawian;17.10.2007;0;67;74;3;16;9
1422;Hjbacki;Oktawian;24.5.2008;0;60;67;0;8;7
1823;Mubacki;Oktawian;27.11.2008;0;66;98;2;20;10
1824;Pobacki;Oktawian;28.10.2008;0;61;64;3;20;10
1158;Edbacki;Oktawiusz;2.10.2007;0;69;86;2;1;2
1318;Umbacki;Oktawiusz;1.1.2008;1;70;97;1;23;2
1626;Ribacki;Oktawiusz;28.9.2007;0;69;78;1;13;3
1698;Csbacki;Owidiusz;27.6.2008;0;65;95;2;19;6
1776;Lhbacka;Paschalina;12.10.2007;0;67;83;1;22;1
1365;Habacka;Patrycja;1.10.2007;0;68;86;1;22;4
1853;Dibacka;Patrycja;19.2.2007;0;70;61;2;7;9
1273;Ltbacki;Patrycjusz;2.2.2008;0;64;92;2;4;6
1402;Aubacki;Patrycjusz;19.2.2007;0;63;76;3;3;2
1659;Pkbacki;Patrycjusz;28.11.2007;0;61;93;1;23;5
1783;Dtbacki;Patrycjusz;7.11.2007;1;63;77;3;1;5
1865;Dtbacki;Patrycjusz;7.11.2007;0;62;89;2;23;10
1299;Cmbacki;Patrycy;28.6.2008;0;64;76;2;22;2
1276;Pnbacka;Paula;23.10.2007;0;64;99;1;21;5
1415;Albacka;Paula;26.11.2007;0;66;96;2;0;2
1656;Udbacka;Paula;11.6.2007;0;62;81;2;20;7
1836;Kcbacka;Paula;26.11.2007;0;64;66;2;0;5
1362;Dubacka;Paulina;27.12.2007;0;69;92;0;10;2
1677;Ptbacka;Paulina;8.11.2007;0;69;65;0;16;8
1773;Dwbacka;Paulina;30.7.2008;0;70;91;0;23;6
1132;Rnbacki;Pawe³;15.8.2007;0;62;65;2;7;8
1435;Kubacki;Pawe³;18.10.2007;0;69;66;0;12;2
1572;Gdbacki;Pawe³;30.7.2008;0;62;86;3;17;5
1154;Fkbacka;Perpetua;7.11.2007;0;68;64;2;12;2
1693;Sgbacka;Perpetua;12.10.2007;0;70;69;2;5;4
1288;Ojbacki;Petroniusz;13.11.2007;0;70;66;0;19;3
1498;Ptbacki;Petroniusz;29.8.2008;0;61;63;0;15;5
1068;Wobacka;Pia;27.3.2007;0;67;96;1;0;4
1128;Abbacka;Pia;11.2.2007;0;60;87;2;18;9
1324;Nibacka;Pia;26.6.2008;0;66;75;2;23;2
1575;Hubacka;Pia;28.1.2007;0;70;84;0;15;7
1620;Tcbacka;Pia;19.5.2008;0;63;73;2;19;1
1669;Gfbacka;Pia;21.11.2007;0;63;97;0;16;7
1774;Hcbacka;Pia;22.12.2008;0;72;62;1;8;7
1889;Wobacka;Pia;12.7.2007;0;68;88;1;16;10
1095;Ucbacki;Pius;21.11.2008;0;67;77;2;1;1
1538;Tlbacka;Placyda;1.10.2007;0;63;69;1;21;1
1539;Kpbacka;Placyda;17.4.2007;0;62;91;0;12;2
1674;Crbacka;Placyda;16.4.2008;0;70;96;2;5;4
1689;Wnbacka;Poppea;10.1.2007;0;68;63;0;2;6
1027;Ndbacka;Potencjana;21.5.2007;0;67;77;1;19;9
1480;Dobacka;Potencjana;29.12.2007;1;64;96;3;4;7
1344;Kwbacki;Potyt;26.2.2007;0;62;90;2;14;2
1123;Hhbacka;Pudencjanna;30.6.2008;0;71;67;2;7;9
1520;Acbacka;Pudencjanna;24.8.2008;0;65;87;3;8;3
1614;Kfbacka;Pulcheria;6.3.2007;0;60;94;2;14;3
1013;Apbacka;Regina;23.12.2007;0;60;60;0;4;5
1681;Nfbacka;Regina;26.8.2007;0;65;98;1;1;7
1003;Nbbacki;Remigiusz;28.10.2007;0;68;90;1;7;3
1328;Bbbacki;Remigiusz;24.6.2007;0;61;62;2;6;1
1625;Robacki;Remigiusz;3.5.2007;0;70;85;2;23;10
1654;Shbacki;Remigiusz;17.6.2007;1;65;65;0;17;7
1038;Lbbacki;Remus;7.8.2007;0;67;97;1;10;2
1214;Cgbacki;Remus;28.3.2007;0;69;65;0;6;8
1664;Ckbacki;Remus;25.11.2007;0;66;86;2;0;7
1709;Bkbacki;Renat;28.2.2007;0;68;76;1;18;5
1757;Wgbacki;Renat;4.1.2007;0;64;98;2;10;2
1410;Mhbacka;Renata;19.3.2007;0;64;85;3;14;1
1670;Rdbacka;Renata;25.1.2008;0;69;90;3;7;2
1016;Dhbacki;Roman;5.12.2007;0;68;100;1;3;3
1425;Sibacki;Roman;12.11.2007;0;69;74;0;7;9
1280;Egbacka;Romana;25.8.2007;1;65;87;1;17;7
1445;Cobacka;Romana;25.3.2008;0;62;78;2;1;5
1198;Unbacka;Romula;25.2.2008;0;67;91;1;16;7
1503;Klbacka;Romula;16.5.2007;0;72;63;1;11;2
1378;Slbacki;Romulus;15.5.2007;0;67;86;1;1;7
1740;Pgbacki;Romulus;4.11.2007;0;68;66;1;11;5
1139;Scbacka;Rozalia;21.7.2007;0;62;88;3;0;3
1550;Owbacka;Rozalia;11.6.2007;0;66;74;1;23;5
1685;Uobacka;Rozalia;20.10.2007;0;70;63;3;14;10
1582;Dtbacka;Ró¿a;8.11.2007;0;60;84;1;21;2
1021;Dmbacki;Rufus;1.6.2008;0;63;92;1;21;9
1484;Enbacki;Rufus;4.1.2007;0;61;98;2;4;1
1518;Sobacki;Rufus;30.12.2007;0;62;99;0;24;1
1565;Upbacki;Rufus;24.9.2007;0;64;71;2;14;5
1804;Ambacki;Rufus;17.7.2007;0;67;63;1;11;3
1844;Kbbacki;Rufus;23.12.2007;0;61;75;1;11;4
1339;Uobacki;Sabin;23.12.2007;0;71;74;1;3;9
1646;Ajbacki;Sabin;17.2.2008;0;65;62;3;18;4
1833;Pdbacki;Sabin;17.2.2007;0;61;77;2;23;1
1846;Abbacki;Sabin;17.6.2008;0;70;75;2;13;2
1367;Ojbacka;Sabina;14.3.2007;0;61;70;1;10;1
1167;Ulbacki;Sabinian;19.1.2007;0;61;71;0;1;1
1759;Wubacki;Sabinian;16.8.2007;0;64;80;3;8;9
1800;Wsbacki;Sabinian;17.1.2007;0;67;67;1;0;1
1825;Mubacki;Sabinian;5.8.2007;0;69;72;2;8;10
1072;Swbacki;Salwator;19.10.2008;0;69;87;1;12;7
1893;Swbacki;Salwator;24.12.2007;0;66;90;0;5;6
1628;Hmbacka;Saturnina;31.8.2007;1;60;84;0;6;2
1777;Fbbacka;Saturnina;30.1.2007;0;65;79;2;11;9
1136;Rgbacka;Scholastyka;10.1.2007;0;67;91;0;7;6
1446;Eabacka;Scholastyka;5.3.2008;0;68;63;3;1;4
1499;Pbbacka;Scholastyka;22.10.2008;0;65;64;3;13;3
1703;Hbbacka;Scholastyka;20.6.2007;0;68;71;3;14;8
1782;Ldbacka;Scholastyka;18.1.2007;0;61;92;1;20;8
1864;Ldbacka;Scholastyka;30.8.2007;0;64;97;0;14;1
1133;Lgbacki;Scypion;1.5.2007;0;60;86;3;7;2
1732;Rdbacki;Scypion;31.7.2007;1;70;75;1;1;7
1791;Mubacki;Scypion;10.3.2007;0;71;89;3;16;3
1873;Mubacki;Scypion;9.3.2008;0;67;87;1;5;1
1112;Fjbacki;Sekundyn;19.2.2007;0;62;66;1;8;9
1165;Mebacki;Sekundyn;16.5.2007;0;68;71;1;14;8
1202;Wbbacki;Sekundyn;24.12.2007;0;64;80;3;23;10
1502;Uibacki;Sekundyn;27.2.2007;0;65;80;3;9;7
1586;Snbacki;Sekundyn;21.10.2007;0;71;88;1;12;2
1598;Gkbacki;Sekundyn;6.12.2008;1;60;76;2;17;9
1160;Bgbacki;Sergiusz;24.11.2007;0;70;80;1;8;8
1252;Hobacki;Sergiusz;30.5.2007;0;62;81;2;11;3
1278;Habacki;Sergiusz;1.1.2008;0;62;98;1;18;1
1496;Tibacki;Sergiusz;23.9.2008;0;63;100;2;0;4
1271;Nabacki;Serwacy;21.7.2008;0;71;69;2;10;10
1675;Wjbacki;Serwacy;21.1.2007;0;60;89;3;1;1
1020;Mbbacki;Serwiusz;3.6.2008;0;62;71;0;12;5
1707;Tdbacki;Serwiusz;6.11.2007;0;65;90;2;9;2
1169;Bdbacki;Sewer;30.7.2007;0;65;63;1;21;8
1346;Mibacki;Sewer;12.3.2008;0;66;99;1;11;5
1718;Nwbacki;Sewer;1.4.2007;0;66;85;2;22;9
1253;Opbacka;Sewera;21.12.2007;0;71;71;0;5;2
1506;Cfbacka;Sewera;14.5.2007;0;71;90;2;16;6
1641;Pwbacka;Sewera;5.4.2007;0;68;73;1;13;10
1686;Mwbacki;Seweryn;17.10.2007;0;63;68;3;5;4
1113;Dkbacka;Seweryna;17.8.2007;0;63;68;1;5;6
1211;Njbacka;Seweryna;29.11.2007;0;62;74;2;5;9
1417;Ltbacka;Stella;3.1.2007;0;65;87;2;22;5
1638;Wwbacka;Stella;21.3.2007;0;68;79;2;14;7
1115;Pnbacki;Sulpicjusz;17.6.2007;0;72;81;2;10;7
1358;Okbacki;Sulpicjusz;1.12.2007;0;69;60;2;16;6
1615;Pibacki;Sulpicjusz;14.7.2007;0;63;67;0;14;1
1428;Tkbacka;Sybillina;14.6.2007;1;61;69;1;9;7
1481;Ebbacka;Sybillina;17.8.2007;1;67;100;0;8;2
1321;Pebacka;Sydonia;8.2.2008;1;69;77;1;10;9
1438;Ajbacka;Sydonia;4.9.2007;0;68;95;2;3;2
1514;Agbacki;Sylwan;14.10.2007;0;69;79;3;20;9
1525;Pwbacki;Sylwan;8.6.2007;0;69;83;1;15;8
1555;Osbacki;Sylwan;6.2.2007;0;69;99;2;20;8
1719;Nlbacki;Sylwan;20.11.2007;0;64;69;2;16;6
1179;Fabacka;Sylwana;1.1.2008;0;62;83;2;6;9
1488;Tjbacka;Sylwana;15.9.2007;0;62;94;1;1;9
1028;Cobacki;Sylweriusz;28.10.2007;1;64;71;1;7;1
1182;Wwbacki;Sylwester;27.10.2007;0;72;74;2;24;1
1191;Ffbacki;Sylwester;20.1.2007;0;63;68;2;7;8
1694;Febacki;Sylwester;15.6.2007;0;61;83;2;17;8
1104;Mobacka;Sylwestra;25.8.2007;0;62;91;1;22;5
1364;Rjbacka;Sylwia;12.11.2007;0;64;89;0;22;5
1065;Gobacki;Sylwiusz;17.2.2007;0;63;65;3;19;9
1373;Fcbacki;Sylwiusz;23.3.2008;0;72;90;0;23;1
1401;Dlbacki;Sylwiusz;10.4.2007;1;67;63;0;5;4
1780;Gpbacki;Sylwiusz;23.4.2007;0;68;100;1;7;2
1862;Gpbacki;Sylwiusz;22.2.2007;0;63;89;1;4;3
1886;Gobacki;Sylwiusz;17.4.2007;1;68;60;3;6;3
1633;Ahbacki;Tacjan;13.2.2007;0;63;68;0;5;5
1829;Gebacki;Tacjan;11.6.2007;0;70;83;2;23;10
1852;Elbacki;Tacjan;11.10.2007;0;68;96;2;2;1
1171;Lwbacka;Tacjana;15.10.2008;0;71;96;0;5;6
1754;Kcbacka;Tacjana;3.4.2007;0;67;91;3;13;7
1786;Aubacka;Tacjana;22.3.2007;0;64;85;1;3;3
1868;Aubacka;Tacjana;4.6.2007;0;61;86;3;9;4
1622;Wobacki;Tarcyzjusz;14.1.2008;0;63;90;2;8;5
1826;Mubacki;Tarcyzjusz;3.2.2007;0;62;86;2;22;8
1609;Aabacki;Tarsycjusz;28.8.2007;0;64;83;0;24;10
1618;Olbacki;Tarsycjusz;10.11.2007;0;62;82;3;0;10
1018;Fubacka;Tarsylia;11.1.2007;0;63;65;3;4;1
1508;Uebacka;Tarsylia;5.9.2007;0;72;87;3;8;10
1547;Ngbacka;Tarsylia;6.6.2008;0;60;83;1;2;5
1744;Anbacka;Tarsylia;31.12.2007;0;67;72;0;13;2
1840;Tmbacki;Tarsyliusz;2.7.2007;0;71;90;1;3;1
1458;Bfbacki;Tercjusz;21.1.2007;0;72;93;0;18;7
1329;Lpbacki;Terencjusz;5.4.2007;0;68;89;0;0;3
1714;Pubacki;Terencjusz;20.1.2007;0;71;92;2;16;3
1355;Fwbacka;Tertulia;20.5.2007;0;66;73;2;15;1
1684;Nnbacka;Tertulia;3.1.2007;1;66;78;1;22;8
1283;Etbacki;Tertulian;18.11.2007;0;64;87;2;2;1
1501;Tpbacki;Tertulian;2.12.2007;0;64;77;2;0;10
1035;Obbacki;Treweriusz;22.5.2007;0;65;75;2;2;5
1130;Fhbacki;Treweriusz;27.2.2007;0;60;95;0;18;3
1690;Bpbacki;Treweriusz;21.11.2007;0;63;89;0;8;6
1495;Bjbacki;Trojan;8.6.2008;0;65;88;2;23;5
1600;Bmbacki;Trojan;10.12.2007;0;69;78;2;22;7
1269;Nkbacki;Tryfiliusz;11.6.2007;0;61;96;2;7;2
1467;Sfbacki;Tryfiliusz;25.2.2007;1;66;67;2;17;3
1106;Fhbacka;Tulia;7.12.2007;0;62;81;2;23;8
1251;Pobacka;Tulia;23.1.2007;0;61;95;1;3;7
1475;Kebacki;Tuliusz;20.10.2007;0;70;87;1;2;6
1030;Nhbacki;Turybiusz;13.4.2007;0;67;80;2;16;10
1579;Ccbacki;Turybiusz;13.10.2007;0;65;88;1;10;9
1005;Fnbacka;Tuskana;23.10.2007;0;69;98;3;16;8
1340;Rcbacka;Tuskana;17.12.2007;0;63;88;0;4;2
