pesel;województwo;miesjce zamieszkania (miasto-wieś)
06292817353;zachodniopomorskie;wieś
20251246970;wielkopolskie;miasto
15240174587;małopolskie;wieś
12220617492;wielkopolskie;wieś
01233090512;mazowieckie;wieś
03311712479;warmińsko-mazurskie;miasto
05261564690;świętokrzyskie;wieś
19312698724;wielkopolskie;wieś
16291742480;łódzkie;miasto
07221031648;kujawsko-pomorskie;miasto
06271769888;opolskie;wieś
18230851693;opolskie;miasto
17251583819;pomorskie;miasto
19222247988;opolskie;miasto
21291587975;pomorskie;miasto
20251580243;opolskie;miasto
04292335426;kujawsko-pomorskie;miasto
19212365544;opolskie;wieś
03212825508;zachodniopomorskie;miasto
08231950989;dolnośląskie;miasto
18290225326;dolnośląskie;wieś
14270954859;małopolskie;miasto
21320534080;zachodniopomorskie;wieś
15280299664;podlaskie;miasto
08231643490;warmińsko-mazurskie;wieś
04272996258;podkarpackie;miasto
06290719237;łódzkie;wieś
00301200651;śląskie;wieś
18211262029;mazowieckie;miasto
05282383166;mazowieckie;wieś
18241417767;wielkopolskie;wieś
16312049086;dolnośląskie;miasto
09321581591;małopolskie;wieś
08271795313;lubelskie;miasto
10311034407;małopolskie;miasto
14281264761;łódzkie;wieś
03241511191;mazowieckie;miasto
02272037384;wielkopolskie;wieś
17282315085;mazowieckie;wieś
03241893396;pomorskie;miasto
10210725761;małopolskie;miasto
12310765821;łódzkie;wieś
14262881374;lubelskie;miasto
16221452829;zachodniopomorskie;miasto
06240977898;warmińsko-mazurskie;wieś
20231233552;małopolskie;wieś
02260903279;wielkopolskie;miasto
15300457836;zachodniopomorskie;miasto
12241643573;świętokrzyskie;wieś
13222492508;śląskie;miasto
20303175236;lubuskie;wieś
14271835467;wielkopolskie;wieś
06220350891;świętokrzyskie;wieś
07231617603;mazowieckie;wieś
07282120738;wielkopolskie;wieś
13242793243;podkarpackie;miasto
22270105250;łódzkie;miasto
15220359519;zachodniopomorskie;miasto
16323024481;podlaskie;miasto
17212907508;podlaskie;wieś
06280926629;świętokrzyskie;miasto
20301201520;podkarpackie;miasto
01300883719;zachodniopomorskie;miasto
21292867504;zachodniopomorskie;miasto
09310931990;opolskie;miasto
00301923628;śląskie;miasto
01241320263;podkarpackie;miasto
20242260107;świętokrzyskie;wieś
00231165855;świętokrzyskie;wieś
15272639593;podkarpackie;wieś
22302366035;zachodniopomorskie;wieś
17241573501;małopolskie;miasto
11272916382;małopolskie;miasto
15323100788;podlaskie;wieś
09262218954;pomorskie;wieś
21220692011;kujawsko-pomorskie;wieś
08321684273;podlaskie;wieś
04322129955;świętokrzyskie;wieś
10301730326;pomorskie;wieś
09271604865;opolskie;miasto
18320126005;podkarpackie;miasto
10262232318;pomorskie;wieś
21303122839;świętokrzyskie;miasto
10293014169;dolnośląskie;wieś
09210120492;kujawsko-pomorskie;wieś
20260451486;śląskie;miasto
17302231740;śląskie;wieś
02320253199;wielkopolskie;wieś
18260366309;śląskie;miasto
04222956169;śląskie;wieś
05261270230;podlaskie;wieś
15320635728;małopolskie;wieś
14292679651;małopolskie;miasto
15210368107;kujawsko-pomorskie;wieś
11282868178;łódzkie;miasto
21270839187;podlaskie;miasto
07271839036;lubelskie;wieś
05281893493;dolnośląskie;miasto
09252839228;lubelskie;wieś
00291348241;kujawsko-pomorskie;wieś
04280932334;warmińsko-mazurskie;miasto
02220934077;świętokrzyskie;miasto
02210131268;wielkopolskie;miasto
09241160465;lubuskie;miasto
09241367008;kujawsko-pomorskie;miasto
13312872144;świętokrzyskie;miasto
13262230102;pomorskie;miasto
21220724187;świętokrzyskie;wieś
06261743427;lubelskie;miasto
14222620834;wielkopolskie;wieś
19321241795;lubuskie;miasto
08231904735;małopolskie;wieś
15291262613;wielkopolskie;miasto
08260445829;opolskie;miasto
08240292689;lubelskie;miasto
19231091923;opolskie;wieś
14281202570;lubuskie;miasto
07280297711;świętokrzyskie;wieś
06262554167;zachodniopomorskie;miasto
15242764690;świętokrzyskie;miasto
14262226577;małopolskie;miasto
01212988892;warmińsko-mazurskie;wieś
21210221072;pomorskie;wieś
16282427578;kujawsko-pomorskie;wieś
02241272826;podlaskie;miasto
06310554648;dolnośląskie;wieś
18210957250;łódzkie;miasto
21243075794;małopolskie;wieś
00251281221;mazowieckie;miasto
00270484214;lubelskie;miasto
06211342089;śląskie;wieś
17212237652;kujawsko-pomorskie;miasto
11241593178;świętokrzyskie;miasto
18222264663;warmińsko-mazurskie;wieś
04311914014;lubelskie;wieś
06260135821;zachodniopomorskie;miasto
06220424817;mazowieckie;miasto
22261251874;śląskie;wieś
19291516772;mazowieckie;miasto
01310378922;pomorskie;wieś
16232416838;podkarpackie;miasto
02240727679;łódzkie;miasto
06270487288;świętokrzyskie;wieś
04241869475;lubuskie;wieś
17320457399;podlaskie;miasto
